Tên model,Link
Qwen/Qwen3-Embedding-4B,https://huggingface.co/Qwen/Qwen3-Embedding-4B
Qwen/Qwen3-Reranker-0.6B,https://huggingface.co/Qwen/Qwen3-Reranker-0.6B
Qwen/Qwen3-Reranker-4B,https://huggingface.co/Qwen/Qwen3-Reranker-4B
Qwen/Qwen3.5-0.8B,https://huggingface.co/Qwen/Qwen3.5-0.8B
Qwen/Qwen3.5-2B,https://huggingface.co/Qwen/Qwen3.5-2B
Qwen/Qwen3.5-4B,https://huggingface.co/Qwen/Qwen3.5-4B
Qwen3.5-2B-GGUF,https://huggingface.co/unsloth/Qwen3.5-2B-GGUF
Qwopus3.5-2B-v3,https://huggingface.co/Jackrong/Qwopus3.5-2B-v3
Snowflake/snowflake-arctic-embed-l-v2.0,https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0
thangvip/qwen3-1.7b-vietnamese-legal-grpo-phase-2,https://huggingface.co/thangvip/qwen3-1.7b-vietnamese-legal-grpo-phase-2
thanhtantran/Vietnamese_Reranker,https://huggingface.co/thanhtantran/Vietnamese_Reranker
underthesea,https://github.com/undertheseanlp/underthesea
VietAI/vit5-base,https://huggingface.co/VietAI/vit5-base
vietlegal-harrier-0.6b,https://huggingface.co/mainguyen9/vietlegal-harrier-0.6b
ViLegalBERT,https://huggingface.co/ntphuc149/ViLegalBERT
ViLegalQwen2.5-1.5B-Base,https://huggingface.co/ntphuc149/ViLegalQwen2.5-1.5B-Base
ViLegalQwen3-1.7B-Base,https://huggingface.co/ntphuc149/ViLegalQwen3-1.7B-Base
vilm/vinallama-2.7b-chat,https://huggingface.co/vilm/vinallama-2.7b-chat
vinai /phobert-base-v2,https://huggingface.co/vinai/phobert-base-v2
vinai/bartpho-syllable,https://huggingface.co/vinai/bartpho-syllable
Vinai/phobert-base,https://huggingface.co/vinai/phobert-base
vinai/PhoGPT-4B-Chat,https://huggingface.co/vinai/PhoGPT-4B-Chat
VLSP2025-LegalSML/qwen3-4b-legal-pretrain,https://huggingface.co/VLSP2025-LegalSML/qwen3-4b-legal-pretrain
VnCoreNLP,https://github.com/vncorenlp/VnCoreNLP
